도로명,카메라대수,위도,경도
대학동210,7,37.46831654,126.9456034
청룡동산151-139,3,37.47969721,126.9372032
양산길,1,37.47369949,126.9326583
승방1길,2,37.47177181,126.9790536
봉천로33가길,1,37.48472219,126.9448623
당곡2길,1,37.49274898,126.9350922
법원단지18길,1,37.47331235,126.92363629999998
난곡동산90-2,1,37.4667325,126.9237165
남현동산65,1,37.46985456,126.9778824
대학동산56-2,1,37.45641695,126.9461288
미성동산117-3,2,37.46924978,126.9126727
미성동산197-31,2,37.48097851,126.916495
보라매동산118-6,1,37.49183062,126.93626129999998
은천동산103-3,1,37.49202819,126.9402673
성현동산1718-9,1,37.49312281,126.9453076
청룡동산175-6,2,37.47472773,126.9493561
청룡동산175-27,2,37.47521741,126.9515644
남부순환로251길,3,37.47646946,126.9696306
청룡동556-91,2,37.47727121,126.9493785
행운4길,2,37.47984474,126.9593811
미성8길,1,37.47351263,126.9126731
봉천로21길,1,37.48996775,126.9342732
국회단지10길,1,37.48838569,126.94295859999998
난곡로43길,1,37.47566349,126.91483999999998
관악산공원,1,37.4666724,126.9470937
관악산공원호수공원,2,37.45853189,126.946999
대학동208,1,37.46685449,126.9443101
대학길129,2,37.46499971,126.938472
난곡로11길,2,37.46569065,126.9171947
법원단지5나길,4,37.47739069,126.922718
난곡로26길,8,37.46823737,126.9264493
인헌길,6,37.46909557,126.969963
삼성동1713-6,1,37.46331438,126.9272212
보라매동산104-9,3,37.48890915,126.9381012
봉천로41길,12,37.48438675,126.9484749
장군봉2길,5,37.48226928,126.94018390000002
남부순환로206길,1,37.48108245,126.941804
청룡9길,1,37.4787465,126.9464696
청룡15길,1,37.47660905,126.94691090000002
남부순환로210길,5,37.48048661,126.944654
청룡8길,4,37.47987243,126.94598700000002
청림길,4,37.48833424,126.9590835
양녕로6길,4,37.4869323,126.9584175
청림3라길,3,37.49019989,126.9598053
행운1라길,5,37.48185647,126.9579698
행운5길,1,37.48192982,126.9590258
행운길,2,37.48070962,126.95947920000002
솔밭로5길,4,37.47982758,126.9630681
남부순환로247다길,1,37.47844302,126.9645338
남부순환로247길,5,37.4767182,126.9664007
