,도로명,총유동인구수,남성유동인구수,여성유동인구수
0,풍성로37가길,9692443,4480097,5212346
1,천호옛길,8798709,4008110,4790600
2,천호옛14길,7345107,3358249,3986860
3,천호대로219길,1425329,686581,738748
4,천호대로197길,5812854,2647024,3165832
5,천호대로187길,6416679,2959205,3457474
6,천호대로170길,10638967,5029673,5609295
7,천호대로162길,9881040,4599390,5281648
8,천중로51길,8436611,3813557,4623053
9,천중로39길,9787553,4570538,5217014
10,진황도로47길,5775526,2686257,3089270
11,진황도로27길,10034567,4772113,5262453
12,올림픽로98길,8187391,3746677,4440714
13,올림픽로80길,3999803,1888348,2111454
14,올림픽로78길,3832525,1786617,2045908
15,올림픽로77길,4786824,2247159,2539665
16,올림픽로71길,4346883,2017741,2329142
17,올림픽로48길,3762838,1759818,2003020
18,양재대로96길,6274310,2953942,3320368
19,양재대로95길,8487732,4027497,4460235
20,양재대로91길,6470117,3107043,3363074
21,양재대로133길,7922166,3654853,4267313
22,양재대로124길,8725003,3963973,4761029
23,양재대로116길,5271778,2442645,2829133
24,양재대로101길,8994751,4280877,4713872
25,암사길,8198604,3748418,4450187
26,성안로3길,4469972,2135053,2334917
27,성내로5길,8668736,3979637,4689098
28,상일로5길,1800216,863327,936888
29,상암로5길,5220606,2429776,2790830
30,상암로51길,5430918,2446967,2983952
31,상암로4길,5654075,2634911,3019164
32,상암로14길,7196364,3310394,3885971
33,명일로13길,6307127,2901841,3405284
34,동남로85길,1836987,893405,943582
35,동남로82길,1077239,517425,559813
36,동남로65길,1088057,491102,596956
37,구천면로42길,10454010,4920830,5533180
38,구천면로41길,9688786,4455837,5232950
39,구천면로36길,8221569,3912397,4309171
40,고덕로61길,2008734,974795,1033940
41,고덕로25길,2408923,1124922,1284001
42,고덕로10길,6155512,2859832,3295681
43,강동대로53길,3971822,2002747,1969075
44,풍성로25길,6493564,2934330,3559234
45,오금로46길,5093640,2335942,2757698
46,오금로36길,3910370,1843796,2066574
47,오금로11길,6453146,3100019,3353127
48,양재대로72길,3345603,1567104,1778498
49,양재대로71길,3586318,1714467,1871852
50,양재대로64길,5000752,2409602,2591150
51,양재대로62길,3451251,1697147,1754105
52,송파대로30길,4323620,2160855,2162766
53,송이로36길,4148942,1985204,2163738
54,송이로32길,5702012,2707052,2994960
55,송이로23길,4906271,2298299,2607972
56,삼전로13길,7288863,3389625,3899238
57,백제고분로50길,5499348,2603087,2896262
58,백제고분로46길,4943172,2233710,2709463
59,백제고분로45길,5889428,2736456,3152972
60,백제고분로42길,4930469,2207459,2723010
61,백제고분로39길,4339151,1986441,2352710
62,백제고분로34길,5267902,2410826,2857076
63,백제고분로33길,5669071,2597577,3071493
64,백제고분로32길,4334826,1987404,2347421
65,백제고분로31길,6727255,3077759,3649495
66,백제고분로22길,4257764,1979992,2277772
67,백제고분로21길,5098324,2355312,2743013
68,마천로51길,5797973,2757335,3040639
69,동남로20길,4877272,2256892,2620379
70,거마로20길,5543774,2643233,2900541
71,학동로77길,3909208,1743989,2165219
72,학동로6길,4204012,2014719,2189293
73,학동로56길,6023917,2924382,3099537
74,학동로38길,3628839,1819511,1809328
75,테헤란로81길,2394154,1271611,1122544
76,일원로9길,3607530,1716682,1890849
77,일원로3길,3849639,1844162,2005477
78,영동대로65길,4175568,2220145,1955423
79,영동대로112길,1648470,810322,838149
80,언주로81길,6387206,3286224,3100983
81,압구정로2길,3199302,1481551,1717750
82,선릉로18길,949507,451047,498460
83,선릉로146길,4187298,1877524,2309773
84,선릉로133길,4912092,2418062,2494030
85,선릉로132길,6554681,3052595,3502085
86,선릉로121길,4779857,2370752,2409106
87,삼성로75길,7050002,3547530,3502472
88,삼성로69길,6454369,3214091,3240277
89,삼성로64길,4055834,2104747,1951087
90,삼성로63길,6028388,2954219,3074169
91,삼성로57길,5253750,2554716,2699035
92,삼성로147길,3865778,1715607,2150170
93,삼성로115길,3956518,1860215,2096303
94,봉은사로68길,3689705,1866316,1823389
