도로명,살인,강도,강간/추행,절도,폭력,범죄발생건수
청룡길,1,1.0,1.0,3.0,4.0,10
관악로,0,0.0,1.0,3.0,4.0,8
장군봉8길,0,0.0,1.0,3.0,4.0,8
청룡7길,0,0.0,0.0,3.0,3.0,6
관악로5길,0,0.0,0.0,3.0,3.0,6
청룡10길,0,0.0,0.0,3.0,3.0,6
청룡10길,0,0.0,0.0,2.0,3.0,5
은천로,1,1.0,1.0,4.0,5.0,12
양녕로,0,0.0,1.0,4.0,5.0,10
은천로,0,0.0,1.0,4.0,4.0,9
양녕로,0,0.0,1.0,4.0,4.0,9
은천로15길,0,0.0,0.0,3.0,4.0,7
은천로15길,0,0.0,0.0,3.0,4.0,7
관악로,1,1.0,1.0,3.0,3.0,9
관악로37길,0,0.0,1.0,3.0,3.0,7
성현로,0,0.0,1.0,2.0,3.0,6
구암길,0,0.0,1.0,2.0,3.0,6
구암5가길,0,0.0,0.0,2.0,3.0,5
은천로33길,0,0.0,0.0,2.0,3.0,5
은천로39길,0,0.0,0.0,2.0,2.0,4
관악로,0,0.0,0.0,2.0,2.0,4
은천로,0,0.0,0.0,2.0,2.0,4
관악로30길,0,0.0,1.0,3.0,4.0,8
관악로30길,0,0.0,1.0,3.0,3.0,7
솔밭로7길,0,0.0,1.0,3.0,3.0,7
행운10길,0,0.0,0.0,3.0,3.0,6
남부순환로,0,0.0,0.0,2.0,3.0,5
관악로28길,0,0.0,0.0,2.0,3.0,5
관악로,0,0.0,0.0,2.0,3.0,5
인헌12길,0,0.0,1.0,3.0,4.0,8
인헌12길,0,0.0,1.0,3.0,4.0,8
남부순환로248길,0,0.0,1.0,3.0,4.0,8
낙성대역길,0,0.0,0.0,3.0,3.0,6
인헌16다길,0,0.0,0.0,2.0,3.0,5
인헌16가길,0,0.0,0.0,2.0,3.0,5
보라매로,0,0.0,1.0,4.0,4.0,9
보라매로3길,0,0.0,1.0,3.0,4.0,8
보라매로6길,0,0.0,1.0,3.0,4.0,8
봉천로23다길,0,0.0,0.0,3.0,4.0,7
은천로5길,0,0.0,0.0,3.0,4.0,7
낙성대로15길,0,0.0,1.0,3.0,3.0,7
남부순환로230길,0,0.0,1.0,2.0,3.0,6
봉천로,0,0.0,0.0,2.0,3.0,5
남부순환로230길,0,0.0,0.0,2.0,2.0,4
낙성대로,0,0.0,0.0,2.0,2.0,4
양녕로6나길,0,0.0,2.0,9.0,11.0,22
관악로,0,0.0,1.0,3.0,4.0,8
관악로30길,0,0.0,1.0,2.0,3.0,6
청림5길,0,0.0,0.0,2.0,3.0,5
청림3길,0,0.0,0.0,2.0,3.0,5
미성길,0,0.0,1.0,2.0,2.0,5
문성로,0,0.0,1.0,2.0,2.0,5
미성5길,0,0.0,1.0,2.0,2.0,5
남부순환로,0,0.0,1.0,2.0,2.0,5
미성3길,0,0.0,0.0,2.0,2.0,4
문성로,0,0.0,0.0,2.0,2.0,4
미성7길,0,0.0,0.0,2.0,2.0,4
미성5길,0,0.0,0.0,2.0,2.0,4
미성길,0,0.0,0.0,1.0,2.0,3
문성로16나길,0,0.0,0.0,1.0,2.0,3
미성10길,0,0.0,0.0,1.0,2.0,3
난곡로47길,0,0.0,0.0,1.0,2.0,3
난곡로,0,0.0,2.0,9.0,11.0,22
난곡로35길,0,0.0,1.0,9.0,11.0,21
관천로27길,0,0.0,3.0,16.0,19.0,38
신림로3길,0,0.0,1.0,2.0,2.0,5
대학18길,0,0.0,1.0,2.0,2.0,5
대학20길,0,0.0,0.0,2.0,2.0,4
신림로3가길,0,0.0,0.0,2.0,2.0,4
신림로3가길,0,0.0,0.0,2.0,2.0,4
신림로7길,0,0.0,0.0,2.0,2.0,4
신림로3가길,0,0.0,0.0,1.0,2.0,3
대학7길,0,0.0,0.0,1.0,2.0,3
신림로11길,0,0.0,0.0,1.0,2.0,3
신림로29길,0,0.0,1.0,8.0,10.0,19
신림로31가길,0,0.0,1.0,7.0,9.0,17
남부순환로198길,0,0.0,1.0,3.0,4.0,8
신림로48길,0,0.0,1.0,3.0,4.0,8
신림로58길,0,0.0,0.0,3.0,4.0,7
남부순환로194길,0,0.0,0.0,3.0,3.0,6
남부순환로198길,0,0.0,0.0,2.0,3.0,5
호암로,0,0.0,1.0,2.0,2.0,5
광신길,0,0.0,1.0,2.0,2.0,5
광신길,0,0.0,1.0,2.0,2.0,5
호암로,0,0.0,0.0,2.0,2.0,4
호암로,0,0.0,0.0,2.0,2.0,4
호암로,0,0.0,0.0,1.0,2.0,3
호암로,0,0.0,0.0,1.0,2.0,3
호암로16길,0,0.0,0.0,1.0,2.0,3
양지길,0,0.0,0.0,1.0,2.0,3
양지길,0,0.0,0.0,1.0,1.0,2
