도로명,살인,강도,강간/추행,절도,폭력,범죄발생건수
관악로,1,1.0,13.0,69.0,75.0,159
관악로13길,0,0.0,2.0,4.0,1.0,7
관악로15길,0,0.0,0.0,0.0,0.0,0
관악로17길,0,0.0,0.0,0.0,0.0,0
관악로24가길,0,0.0,0.0,1.0,1.0,2
관악로24길,0,0.0,0.0,1.0,1.0,2
관악로28길,0,0.0,0.0,2.0,3.0,5
관악로30길,0,0.0,3.0,9.0,11.0,23
관악로37길,0,0.0,1.0,3.0,3.0,7
관악로5길,0,0.0,1.0,4.0,4.0,9
관천로,0,0.0,1.0,1.0,1.0,3
관천로18길,0,0.0,0.0,6.0,8.0,14
관천로24길,0,0.0,2.0,7.0,9.0,18
관천로27길,0,0.0,3.0,16.0,19.0,38
광신길,0,0.0,3.0,7.0,4.0,14
구암5가길,0,0.0,0.0,2.0,3.0,5
구암길,0,0.0,1.0,3.0,4.0,8
낙성대로,0,0.0,0.0,2.0,2.0,4
낙성대로15길,0,0.0,1.0,3.0,3.0,7
낙성대역길,0,0.0,0.0,3.0,3.0,6
난곡로,0,0.0,4.0,23.0,30.0,57
난곡로16길,0,0.0,0.0,1.0,0.0,1
난곡로24가길,0,0.0,1.0,1.0,0.0,2
난곡로34길,0,0.0,0.0,1.0,1.0,2
난곡로35길,0,0.0,1.0,9.0,11.0,21
난곡로47길,0,0.0,0.0,1.0,2.0,3
난곡로64길,0,0.0,1.0,1.0,1.0,3
난곡로78길,0,0.0,1.0,1.0,0.0,2
난우2길,0,0.0,1.0,1.0,0.0,2
난우길,0,0.0,0.0,2.0,1.0,3
난향3길,0,0.0,0.0,0.0,0.0,0
난향7길,0,0.0,1.0,1.0,2.0,4
남부순환로,0,2.0,23.0,106.0,132.0,263
남부순환로152길,0,0.0,0.0,1.0,1.0,2
남부순환로156길,0,0.0,0.0,1.0,1.0,2
남부순환로157길,0,0.0,0.0,1.0,1.0,2
남부순환로166길,0,0.0,1.0,6.0,7.0,14
남부순환로168길,0,0.0,0.0,1.0,0.0,1
남부순환로172길,0,0.0,0.0,1.0,1.0,2
남부순환로181길,0,0.0,1.0,1.0,0.0,2
남부순환로194길,0,0.0,0.0,3.0,3.0,6
남부순환로198길,0,0.0,1.0,5.0,7.0,13
남부순환로218길,0,0.0,0.0,0.0,0.0,0
남부순환로230길,0,0.0,1.0,4.0,5.0,10
남부순환로237길,0,0.0,0.0,1.0,0.0,1
남부순환로247길,0,0.0,0.0,0.0,0.0,0
남부순환로248길,0,0.0,1.0,3.0,4.0,8
남부순환로256라길,0,0.0,0.0,1.0,2.0,3
남부순환로260길,0,0.0,0.0,1.0,1.0,2
남현12길,0,0.0,0.0,1.0,1.0,2
남현1가길,0,0.0,0.0,0.0,1.0,1
남현1길,0,0.0,1.0,3.0,2.0,6
남현7길,0,0.0,0.0,2.0,2.0,4
남현길,0,0.0,1.0,4.0,5.0,10
대학18길,0,0.0,1.0,2.0,2.0,5
대학20길,0,0.0,0.0,2.0,2.0,4
대학7길,0,0.0,0.0,1.0,2.0,3
대학길,0,0.0,0.0,1.0,1.0,2
문성로,0,0.0,1.0,5.0,5.0,11
문성로16길,0,0.0,0.0,1.0,1.0,2
문성로16나길,0,0.0,0.0,1.0,2.0,3
미성10길,0,0.0,0.0,1.0,2.0,3
미성3길,0,0.0,0.0,2.0,2.0,4
미성5길,0,0.0,1.0,4.0,4.0,9
미성7길,0,0.0,0.0,2.0,2.0,4
미성길,0,0.0,1.0,3.0,4.0,8
보라매로,0,0.0,1.0,5.0,5.0,11
보라매로3길,0,0.0,2.0,4.0,5.0,11
보라매로5가길,0,0.0,0.0,8.0,0.0,8
보라매로5길,0,0.0,0.0,1.0,2.0,3
보라매로6길,0,0.0,1.0,3.0,4.0,8
복은4길,0,0.0,0.0,1.0,1.0,2
봉천로,0,0.0,2.0,16.0,9.0,27
봉천로13길,0,0.0,0.0,1.0,1.0,2
봉천로21길,0,0.0,0.0,0.0,0.0,0
봉천로23다길,0,0.0,0.0,3.0,4.0,7
성현로,0,0.0,1.0,4.0,3.0,8
솔밭로7길,0,0.0,1.0,3.0,3.0,7
승방4길,0,0.0,0.0,0.0,0.0,0
승방7길,0,0.0,0.0,1.0,1.0,2
승방길,0,0.0,0.0,1.0,1.0,2
시흥대로,0,0.0,0.0,3.0,3.0,6
신림동1길,0,0.0,1.0,1.0,1.0,3
신림동3길,0,0.0,1.0,2.0,1.0,4
신림동7길,0,0.0,1.0,1.0,1.0,3
신림로,0,0.0,8.0,35.0,52.0,95
신림로11길,0,0.0,0.0,1.0,2.0,3
신림로23길,0,0.0,0.0,1.0,1.0,2
신림로29길,0,0.0,1.0,9.0,10.0,20
신림로31가길,0,0.0,1.0,7.0,9.0,17
신림로3가길,0,0.0,0.0,6.0,7.0,13
신림로3길,0,0.0,2.0,3.0,4.0,9
신림로48길,0,0.0,1.0,4.0,5.0,10
신림로58길,0,0.0,0.0,5.0,6.0,11
신림로59길,0,0.0,0.0,2.0,1.0,3
신림로64길,0,0.0,2.0,5.0,3.0,10
신림로65길,0,0.0,5.0,12.0,16.0,33
신림로66길,0,0.0,1.0,2.0,1.0,4
신림로7길,0,0.0,0.0,2.0,2.0,4
신원로,0,0.0,1.0,8.0,9.0,18
쑥고개로,0,0.0,1.0,6.0,2.0,9
쑥고개로21길,0,0.0,0.0,0.0,0.0,0
양녕로,0,0.0,4.0,13.0,11.0,28
양녕로6나길,0,0.0,2.0,9.0,11.0,22
양지길,0,0.0,0.0,2.0,3.0,5
은천로,1,1.0,3.0,15.0,14.0,34
은천로15길,0,0.0,0.0,7.0,8.0,15
은천로25길,0,0.0,1.0,5.0,2.0,8
은천로2길,0,0.0,0.0,7.0,0.0,7
