,road,latitude_road,longitude_road,murder,robber,rape,theft,violence,crime_counts,camera,latitude_camera,longitude_camera,total_p,total_m,total_f,interval,lamp
0,과천대로,37.4673415,126.9851173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,사당역~남태령,75.0
1,난곡로52길,37.4783133,126.9157578,0.0,0.0,0.0,0.0,0.0,0.0,4.0,37.47836946,126.91622679999999,,,,,
2,남부순환로176길,37.4835435,126.9284008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
3,신림로3길,37.4686883,126.9447106,0.0,0.0,2.0,3.0,4.0,9.0,0.0,0.0,0.0,,,,,
4,인헌7길,37.4733411,126.9674221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
5,승방6길,37.4743906,126.9802072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
6,행운10길,37.4820135,126.9617643,0.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,,,,행운동 관악산푸르지오아파트 앞,11.0
7,은천로11길,37.4865774,126.9419399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
8,참벗길,37.4784307,126.9439719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
9,소담길,37.47748720000001,126.9431336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,34.0,,
10,쑥고개로1가길,37.4778843,126.9378739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
11,쑥고개로24길,37.4786823,126.9490988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
12,시흥대로166길,37.481968,126.9027601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
13,난곡로24마길,37.4683042,126.9222631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
14,용담길,37.477327,126.94349640000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
15,쑥고개로2라길,37.4759056,126.9407179,0.0,0.0,0.0,0.0,0.0,0.0,2.0,37.47589054,126.94068590000002,,,,,
16,서원6길,37.4770717,126.931915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
17,인헌14길,37.47049970000001,126.9667266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
18,봉천로13가길,37.48921370000001,126.9310628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
19,청룡7길,37.4797087,126.9477912,0.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,,,,,
20,난우2길,37.4735359,126.9197839,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,,,,,
21,신사로14길,37.487006,126.916516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
22,행운1라길,37.4821217,126.9575083,0.0,0.0,0.0,0.0,0.0,0.0,5.0,37.48185647,126.95796979999999,,,,,
23,쑥고개로1길,37.4778669,126.938485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
24,서림5길,37.473276,126.9397674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
25,쑥고개로28길,37.4784483,126.9501457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
26,남부순환로125길,37.4809825,126.9060809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
27,난향6길,37.463605,126.9168324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
28,남부순환로167길,37.484572,126.9237249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
29,쑥고개로13길,37.4803185,126.944037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
30,남부순환로260가길,37.4737073,126.9726894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
31,봉천로49가길,37.4826763,126.9506115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
32,시흥대로162길,37.4811238,126.90223020000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
33,참숯5길,37.4771015,126.9405874,0.0,0.0,0.0,0.0,0.0,0.0,5.0,37.48090683,126.9405995,,,,,
34,문성로40길,37.4774995,126.9312324,0.0,0.0,0.0,0.0,0.0,0.0,4.0,37.47743135,126.93120790000002,,,,,
35,문성로38나길,37.47621470000001,126.9289645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
36,호암로18나길,37.4643099,126.9330795,0.0,0.0,0.0,0.0,0.0,0.0,5.0,37.46429343,126.93285619999999,,,,,
37,관악로17길,37.4808679,126.9504007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
38,성현로,37.4916112,126.9501285,0.0,0.0,1.0,4.0,3.0,8.0,6.0,37.49221813,126.9489399,,,,봉현초교~양녕로,106.0
39,은천로8길,37.4854866,126.9400435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
40,남부순환로152가길,37.4818037,126.9170772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
41,신림로38길,37.4765031,126.9382508,0.0,0.0,0.0,0.0,0.0,0.0,5.0,37.47657627,126.9377913,23.0,23.0,22.0,,
42,법원단지25길,37.475822,126.9230932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
43,남부순환로246나길,37.4749524,126.9650132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
44,신림로44길,37.47825,126.9353074,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.4785555,126.93516409999998,,,,,
45,법원단지16길,37.4736006,126.9221825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
46,서림11길,37.4721788,126.9410708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
47,광신5길,37.46741420000001,126.9299154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
48,난곡로78길,37.4866695,126.9139194,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,,,,,
49,장군봉8길,37.4810079,126.9387697,0.0,0.0,1.0,3.0,4.0,8.0,0.0,0.0,0.0,,,,,
50,법원단지21길,37.4754235,126.9223862,0.0,0.0,0.0,0.0,0.0,0.0,5.0,37.47492625,126.92280729999999,,,,,
51,성림길,37.4658621,126.93089109999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
52,성림1길,37.4650418,126.9309283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
53,봉천로33나길,37.4854792,126.9432784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
54,낙성대역길,37.4756745,126.9611045,0.0,0.0,0.0,3.0,3.0,6.0,5.0,37.47404896,126.9645824,32.0,31.0,34.0,,
55,난향2길,37.4633365,126.917983,0.0,0.0,0.0,0.0,0.0,0.0,5.0,37.46316475,126.9185246,,,,,
56,남부순환로164길,37.482005,126.9231642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
57,청룡1길,37.481137,126.9476437,0.0,0.0,1.0,3.0,1.0,5.0,0.0,0.0,0.0,,,,,
58,서림7길,37.4721238,126.9423263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,28.0,20.0,,
59,법원단지10길,37.4745276,126.9231795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
60,법원단지29길,37.47621270000001,126.9238012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
61,은천로28길,37.4859268,126.9510893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
62,남부순환로184길,37.4834958,126.9320731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
63,관천로17길,37.4872876,126.9218841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
64,인헌12나길,37.4708469,126.9665461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
65,법원단지17길,37.475031,126.92167659999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
66,성림3길,37.4655731,126.9305397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
67,문성로19길,37.4785348,126.9161204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
