도로명,총유동인구수,남성유동인구수,여성유동인구수
가로공원로58길,11,11,11
가로공원로76가길,36,33,40
가로공원로80길,30,27,33
가마산로61길,25,24,26
가산로3길,11,12,9
가산로5길,16,18,14
가재울로6길,25,24,27
가좌로7길,50,47,53
갈현로1길,29,27,31
갈현로33길,33,30,36
갈현로41길,30,28,32
갈현로7길,33,30,36
강남대로118길,27,26,28
강남대로136길,26,26,25
강남대로140길,21,21,21
강남대로23길,7,7,6
강남대로34길,20,20,20
강남대로8길,16,16,15
강동대로53길,21,22,21
강서로15길,71,67,76
강서로17가길,36,33,39
강서로18길,46,41,50
강서로29길,39,36,42
강서로35길,28,26,30
강서로45길,18,16,20
강서로45다길,26,23,28
강서로47길,26,22,29
강서로47라길,23,20,26
강서로5가길,59,57,62
강서로5나길,47,46,49
강서로5라길,27,26,29
강서로8길,52,49,54
개봉로11길,19,18,20
개봉로17길,18,16,19
개봉로17다길,20,19,22
개봉로1길,9,9,9
개봉로20길,15,14,16
개봉로23가길,15,14,15
개봉로2길,16,15,17
개봉로3길,13,13,14
개운사길,13,14,12
개포로17길,15,15,15
개포로20길,19,20,18
개포로28길,13,14,13
개포로82길,2,2,3
개화동로23길,22,22,23
개화동로25길,17,17,17
거마로20길,28,27,29
겸재로29길,30,29,32
겸재로36길,30,28,32
겸재로54길,45,42,48
경인로15길,15,14,15
경인로31길,15,15,15
경인로35길,18,17,18
경인로47길,17,17,17
경인로77길,14,14,14
경인로80길,14,14,14
경인로90길,13,13,13
경희대로3길,24,22,26
경희대로4길,33,30,36
계동길,7,7,6
고덕로10길,32,30,33
고덕로25길,11,11,12
고덕로61길,8,8,8
고무래로8길,15,14,16
고산자로6길,32,30,33
고척로21나길,19,18,20
고척로27길,23,22,23
고척로27다길,21,20,22
고척로52길,16,16,17
곰달래로10길,29,28,30
곰달래로25길,47,44,50
곰달래로2길,16,15,16
곰달래로31길,34,31,36
곰달래로3길,23,21,24
곰달래로47길,25,23,27
곰달래로53길,22,20,24
곰달래로5길,23,22,24
곰달래로60길,23,21,25
공릉로12가길,14,13,14
공릉로2길,28,25,30
공릉로58길,9,9,9
공원로6가길,20,19,20
공항대로38길,13,12,14
공항대로42길,15,14,17
공항대로55길,17,16,17
공항대로59길,24,23,26
공항대로59다길,32,30,34
공항대로61길,25,23,26
공항대로8길,17,17,16
관악로10길,31,30,32
관악로14길,42,41,44
관악로28길,25,23,26
관악로30길,25,24,27
관천로15길,33,32,35
관천로22길,36,36,37
광나루로12길,33,33,33
광나루로24길,10,10,10
광나루로36길,26,24,28
광나루로37길,18,17,20
광나루로40길,33,30,36
광나루로52길,38,35,41
광성로6길,24,24,24
구로동로15길,18,18,18
구로동로28길,23,23,24
구로동로38길,23,22,23
구로동로41길,20,19,20
구로동로42길,24,24,24
구로동로7길,28,29,27
구로동로8길,44,44,44
구로중앙로19길,18,18,19
구로중앙로28길,28,27,28
구로중앙로34길,20,20,21
구로중앙로42길,11,11,11
구로중앙로7길,26,25,26
구로중앙로8길,30,30,30
구암길,19,17,20
구천면로36길,44,42,46
구천면로41길,61,58,65
구천면로42길,74,70,77
국사봉1길,31,29,34
국사봉2길,25,23,27
국사봉길,34,31,37
국회단지길,30,28,32
국회대로56길,18,20,17
국회대로7길,27,25,28
금하로14길,18,18,19
금하로1길,2,2,2
금하로24길,15,14,15
금호산2길,27,25,29
금호산길,31,29,34
긴고랑로20길,40,38,42
긴고랑로7길,30,28,31
긴고랑로8길,21,20,21
긴고랑로9길,28,27,30
길음로7길,17,16,19
까치산로4길,39,35,43
낙성대역길,32,31,34
난계로11길,33,31,35
난계로21길,23,22,24
난계로27길,23,24,22
난계로30길,20,20,19
난곡로24길,14,13,14
난곡로26길,19,18,20
난곡로34길,24,23,26
난곡로74길,27,26,28
난우길,28,27,30
난향길,6,6,7
남부순환로112길,19,21,17
남부순환로11길,15,16,14
남부순환로142길,21,21,22
남부순환로151길,28,27,29
남부순환로161길,29,28,30
남부순환로172길,34,34,35
남부순환로234길,25,24,26
남부순환로248길,23,22,25
남부순환로317길,19,19,19
남부순환로325길,19,20,19
남부순환로339길,15,15,14
남부순환로33길,19,19,19
남부순환로365길,22,22,23
남부순환로40길,15,14,15
남부순환로58길,15,14,15
남부순환로70길,16,16,17
남부순환로79길,16,15,16
남부순환로88길,8,7,8
남부순환로97길,12,12,12
남현2길,41,38,43
남현3길,36,34,38
남현길,32,30,35
노량진로6길,25,25,25
노해로17길,35,33,37
노해로23길,26,24,28
노해로33길,25,22,27
노해로60길,45,41,49
노해로63다길,15,14,17
녹사평대로11길,4,4,4
녹사평대로26길,15,15,14
녹사평대로32길,12,13,12
녹사평대로40나길,11,11,11
녹사평대로46길,12,12,13
논현로106길,25,25,24
논현로10길,17,17,17
논현로115길,35,35,35
논현로123길,20,20,21
논현로139길,22,21,22
논현로159길,21,19,23
논현로1길,16,16,17
논현로26길,16,16,16
논현로27길,15,16,15
논현로28길,16,16,16
논현로63길,25,25,24
논현로8길,10,10,10
능동로13길,47,45,48
능동로19길,29,29,30
능동로34길,23,22,25
능동로3길,33,32,34
능동로4길,34,33,36
다산로33길,32,31,32
다산로36길,24,23,25
다산로38길,33,32,34
다산로39길,30,29,30
답십리로23길,27,27,27
답십리로56길,28,26,29
답십리로60길,20,20,21
답십리로63길,21,20,22
답십리로64길,23,22,23
답십리로68길,26,26,26
답십리로69길,16,16,17
답십리로72길,23,22,23
답십리로75길,24,23,25
당곡길,23,22,24
당산로31길,21,21,21
당산로37길,25,25,26
당산로38길,22,22,23
당산로46길,17,17,18
대림로22길,32,31,33
대림로29길,33,33,33
대림로31길,23,23,23
대림로34길,22,22,21
대림로44길,19,19,19
대림로7길,17,17,18
대림로8길,29,27,31
대방동27길,15,15,16
대방동2길,18,17,19
대사관로34길,17,16,17
대학14길,24,29,19
대학길,35,42,27
대흥로21길,47,41,54
대흥로28길,25,21,29
덕릉로40길,14,13,15
덕릉로41길,41,39,44
덕릉로60길,25,23,27
도곡로37길,32,31,33
도당로13가길,24,23,25
도당로13바길,23,22,24
도당로19길,22,21,23
도당로29길,21,21,22
도림로112길,28,27,29
도림로12길,30,30,29
도림로147길,13,13,13
도림로63길,21,21,22
도림로6길,29,30,28
도림천로21길,29,29,29
도봉로109길,39,36,43
도봉로114길,50,46,54
도봉로13길,28,26,31
도봉로143길,19,19,20
도봉로147길,26,25,27
도봉로152가길,9,9,9
도봉로156길,9,9,9
도봉로169나길,8,7,8
도봉로181길,9,9,9
도봉로18길,28,25,31
도봉로45길,27,24,29
도봉로67길,26,25,28
도봉로76길,33,32,35
도봉로8길,19,18,21
도봉로99길,22,21,24
도봉산4길,1,1,1
도봉산길,6,6,6
도산대로15길,21,20,23
도산대로23길,20,19,22
도산대로30길,15,16,15
도산대로38길,14,14,13
도산대로50길,25,25,26
도산대로81길,15,13,16
도산대로89길,14,13,15
도신로15길,26,25,27
도신로29길,28,26,29
도신로60길,26,25,27
도신로62길,29,28,30
도화4길,33,32,34
도화길,33,33,34
독립문로8길,33,31,35
독막로22길,15,14,16
독막로32길,32,31,34
독막로8길,19,19,20
